series,episode,baker,result,signature
6,3,Ian,STAR BAKER,Wild Garlic Pesto Soda Breads
6,4,Alvin,IN,Blackberry Crème Brûlées
6,4,Flora,IN,Rhubarb and Ginger Crème Brûlées
6,4,Mat,IN,Coconut Crème Brûlées
6,4,Nadiya,IN,Cinnamon Tea Crème Brûlées
6,4,Paul,IN,Almond Crème Brûlées
6,4,Tamal,IN,Rhubarb and Ginger Crème Brûlées
6,4,Ugnė,IN,Marula Fruit and Coffee Liqueur Crème Brûlées
6,4,Sandy,OUT,Pontefract Crème Brûlées
6,4,Ian,STAR BAKER,Pomegranate Two Ways Crème Brûlées
6,5,Alvin,IN,Pineapple Upside Down Cake
6,5,Flora,IN,"Pistachio, Apple and Cardamom Madeleine Cake"
6,5,Ian,IN,Honey and Flowers Cake
6,5,Mat,IN,Sugar Free Carrot Cake
6,5,Paul,IN,Carrot & Pecan Cake
6,5,Tamal,IN,Honey and Grapefruit Polenta Cake
6,5,Ugnė,OUT,Chocolate and Hazelnut Sugar-Free Cake
6,5,Nadiya,STAR BAKER,Naked Blueberry and Caraway Crunch Cake
6,6,Flora,IN,Apricot and Rosemary Frangipane Tart
6,6,Ian,IN,Pear and Raspberry Frangipane Tart
6,6,Nadiya,IN,"Bay Leaf, Rong Tea and Pear Tart"
6,6,Paul,IN,Christmas Frangipane Tart
6,6,Tamal,IN,Spiced Pear Frangipane Tart
6,6,Alvin,OUT,Plum Frangipane Tart
6,6,Mat,STAR BAKER,Piña Colada Frangipane Tart
6,7,Flora,IN,Game Pie with Shallot and Apple Chutney
6,7,Ian,IN,Roadkill Pie
6,7,Nadiya,IN,Aromatic Raised Game Pie
6,7,Paul,IN,Not a Boaring Pie
6,7,Mat,OUT,Raised Venison and Pigeon Pie
6,7,Tamal,STAR BAKER,Middle Eastern Game Pie
6,8,Flora,IN,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns
6,8,Ian,IN,Mont Blanc & Black Forest Gâteau Horns
6,8,Tamal,IN,Lime & Mascarpone and Malt Cream Horns
6,8,Paul,OUT,Café Tipple & Banana Crunch-away Horns
6,8,Nadiya,STAR BAKER,Rose Pistachio and Mocha Hazelnut Horns
6,9,Ian,IN,Chocolate and Bay Tart
6,9,Tamal,IN,Chocolate New York Pie
6,9,Flora,OUT,Passion Fruit and Chocolate Tart
6,9,Nadiya,STAR BAKER,Peanut Salted Caramel and Chocolate Tart
6,10,Ian,Runner-up,Elderflower and Lemon & Spiced Buns
6,10,Tamal,Runner-up,Cinnamon and Apple & Toffee and Marmalade Iced Buns
6,10,Nadiya,WINNER,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers
7,1,Andrew,IN,Lemon and Rosemary Drizzle Cake
7,1,Benjamina,IN,"Pistachio, Cardamom and Lemon Drizzle Cake"
7,1,Candice,IN,Raspberry and Rhubarb Drizzle Custard Bundt Cake
7,1,Kate,IN,Berry Best Apple and Bramble Drizzle Cake
7,1,Louise,IN,Orange Liqueur and Lemonade Drizzle Cake
7,1,Michael,IN,"Lime, Ginger and Honey Drizzle Cake"
7,1,Rav,IN,Ginger Spice Yuzu Drizzle Cake
7,1,Selasi,IN,Citrus and Spice Drizzle Cake
7,1,Tom,IN,G&T Drizzle Cake
7,1,Val,IN,Mum's Orange and Lemon Drizzle
7,1,Lee,OUT,St. Clements Orange and Lemon Drizzle Cake
7,1,Jane,STAR BAKER,Lemon and Poppy Seed Drizzle Cake
7,2,Andrew,IN,Beehive Biscuits
7,2,Benjamina,IN,Bouquet Biscuits
7,2,Jane,IN,Flower Pot Iced Biscuits
7,2,Kate,IN,"""A Biscuit for the Broads"""
7,2,Michael,IN,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits"
