Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Segment,Category,Segment_Category
200,Mastro's Restaurants,126,-48.20%,18,0.00%,Fine Dining,Steak,Fine Dining & Steak
201,Smokey Bones Bar & Fire Grill,125,-29.00%,64,0.00%,Casual Dining,All Other,Casual Dining & All Other
202,Topgolf,125,-42.00%,60,11.10%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
203,Cava,124,4.50%,105,16.70%,Fast Casual,All Other,Fast Casual & All Other
204,Roosters,123,-24.50%,42,0.00%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
205,Bruegger's Bagels,122,-16.50%,199,-4.30%,Fast Casual,Sandwich,Fast Casual & Sandwich
206,Buca di Beppo,121,-36.00%,74,-2.60%,Casual Dining,Italian,Casual Dining & Italian
207,Slim Chickens,121,7.00%,90,9.80%,Fast Casual,Chicken,Fast Casual & Chicken
208,Daylight Donuts,120,-11.70%,435,0.00%,Quick Service,Other Beverage,Quick Service & Other Beverage
209,Beef 'O' Brady's,117,-36.50%,131,-12.70%,Casual Dining,Sports Bar,Casual Dining & Sports Bar
210,Biggby Coffee,117,-8.50%,240,0.40%,Quick Service,Coffee Cafe,Quick Service & Coffee Cafe
211,La Madeleine,117,-33.20%,86,-4.40%,Fast Casual,Sandwich,Fast Casual & Sandwich
212,The Coffee Bean & Tea Leaf,115,-15.00%,275,-4.50%,Quick Service,Coffee Cafe,Quick Service & Coffee Cafe
213,Brio Tuscan Grille,115,-46.00%,32,-41.80%,Casual Dining,Italian,Casual Dining & Italian
214,Luby's,115,-40.90%,61,-22.80%,Quick Service,All Other,Quick Service & All Other
215,PDQ,115,-12.00%,56,-6.70%,Fast Casual,Chicken,Fast Casual & Chicken
216,Islands Fine Burgers & Drinks,115,-29.00%,48,-11.10%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
217,Ledo Pizza,114,0.90%,111,3.70%,Quick Service,Pizza,Quick Service & Pizza
218,Metro Diner,114,-33.50%,58,-15.90%,Midscale,Family Style,Midscale & Family Style
219,Duffy's Sports Grill,114,-21.50%,34,0.00%,Casual Dining,Sports Bar,Casual Dining & Sports Bar
220,Rosati's Pizza,114,3.00%,150,3.40%,Quick Service,Pizza,Quick Service & Pizza
221,Runza,113,5.10%,86,0.00%,Quick Service,Sandwich,Quick Service & Sandwich
222,Mimi's Cafe,113,-42.00%,65,-15.60%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
223,Costa Vida Fresh Mexican Grill,112,-14.50%,97,2.10%,Fast Casual,Mexican,Fast Casual & Mexican
224,Wetzel's Pretzels,112,-35.90%,336,-2.00%,Quick Service,Other Beverage,Quick Service & Other Beverage
225,Andy's Frozen Custard,112,17.00%,101,11.00%,Quick Service,Frozen Desserts,Quick Service & Frozen Desserts
226,Fuddruckers,109,-41.00%,89,-35.50%,Fast Casual,Burger,Fast Casual & Burger
227,Pieology Pizzeria,109,-21.50%,115,-7.30%,Fast Casual,Pizza,Fast Casual & Pizza
228,Black Angus steakhouse,108,-32.50%,38,-9.50%,Casual Dining,Steak,Casual Dining & Steak
229,Romano's Macaroni Grill,107,-51.00%,43,-49.40%,Casual Dining,Italian,Casual Dining & Italian
230,Lupe Tortilla,107,-16.00%,27,8.00%,Casual Dining,Mexican,Casual Dining & Mexican
231,Scooter's Coffee,106,7.50%,315,18.40%,Quick Service,Coffee Cafe,Quick Service & Coffee Cafe
232,City Barbeque,106,-5.00%,52,8.30%,Fast Casual,All Other,Fast Casual & All Other
233,Shoney's,105,-38.50%,109,-13.50%,Midscale,Family Style,Midscale & Family Style
234,Eat'n Park,105,-31.00%,59,-6.30%,Midscale,Family Style,Midscale & Family Style
235,Eddie V's Prime Seafood,104,-28.00%,23,9.50%,Fine Dining,Seafood,Fine Dining & Seafood
236,Anthony's Coal Fired Pizza,104,-32.00%,61,-9.00%,Casual Dining,Italian,Casual Dining & Italian
237,NoRTH Italia,103,-8.00%,23,4.50%,Casual Dining,Italian,Casual Dining & Italian
238,Del Frisco's Double Eagle steak House,103,-50.50%,16,0.00%,Fine Dining,Steak,Fine Dining & Steak
239,Yogurtland,102,-15.50%,258,-3.00%,Quick Service,Frozen Desserts,Quick Service & Frozen Desserts
240,Gyu-Kaku,102,-21.00%,56,7.70%,Casual Dining,Asian,Casual Dining & Asian
241,Pappasito's Cantina,101,-29.50%,25,0.00%,Casual Dining,Mexican,Casual Dining & Mexican
242,Shari's Cafe and Pies,101,-37.50%,92,0.00%,Midscale,Family Style,Midscale & Family Style
243,Great American Cookies,101,-22.00%,377,2.40%,Quick Service,Other Beverage,Quick Service & Other Beverage
244,Nekter Juice Bar,100,5.00%,165,3.80%,Quick Service,Other Beverage,Quick Service & Other Beverage
245,Hurricane Grill & Wings,99,-27.00%,48,-11.10%,Casual Dining,Sports Bar,Casual Dining & Sports Bar
246,American Deli,98,2.00%,182,2.80%,Quick Service,Sandwich,Quick Service & Sandwich
247,Bonchon,98,-19.50%,109,6.90%,Casual Dining,Asian,Casual Dining & Asian
248,Chopt,98,-12.40%,65,0.00%,Fast Casual,All Other,Fast Casual & All Other
249,Chicken Express,96,-6.50%,260,2.80%,Quick Service,Chicken,Quick Service & Chicken
250,Sizzler,96,-63.00%,100,-22.50%,Quick Service,All Other,Quick Service & All Other
