,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods,Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
29992,1764,FLORIO,1915 FILLMORE St,San Francisco,CA,94115,37.787553,-122.433574,"{'longitude': '-122.433574', 'latitude': '37.787553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155774300.0,1764_20190304,2019-03-04T00:00:00.000,86.0,Routine - Unscheduled,1764_20190304_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,27.0,9.0,11.0,13.0,29490.0,30.0
29993,37060,Halu,312 08th Ave,San Francisco,CA,94118,37.782576,-122.46648,"{'longitude': '-122.46648', 'latitude': '37.782576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155229165.0,37060_20190507,2019-05-07T00:00:00.000,85.0,Routine - Unscheduled,37060_20190507_103144,Unapproved or unmaintained equipment or utensils,Low Risk,11.0,6.0,2.0,11.0,54.0,11.0
29994,69769,Whole Foods Market,1150 Ocean Ave,San Francisco,CA,94112,37.723652,-122.45461,"{'longitude': '-122.45461', 'latitude': '37.723652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155337400.0,69769_20160628,2016-06-28T00:00:00.000,90.0,Routine - Unscheduled,69769_20160628_103144,Unapproved or unmaintained equipment or utensils,Low Risk,40.0,8.0,4.0,9.0,28861.0,41.0
29996,5849,NEW TRADITIONS ALTERNATIVE SCHOOL,2049 GROVE St,San Francisco,CA,94117,37.774333,-122.450327,"{'longitude': '-122.450327', 'latitude': '37.774333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155758490.0,5849_20161025,2016-10-25T00:00:00.000,96.0,Routine - Unscheduled,5849_20161025_103129,Insufficient hot water or running water,Moderate Risk,16.0,5.0,11.0,15.0,29492.0,18.0
30000,61669,Good Eats Cafe,200 Pine St #160,San Francisco,CA,94104,37.792237,-122.400124,"{'longitude': '-122.400124', 'latitude': '37.792237', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14150296633.0,61669_20170915,2017-09-15T00:00:00.000,89.0,Routine - Unscheduled,61669_20170915_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,6.0,1.0,10.0,4.0,28854.0,8.0
30016,2690,LOS PANCHOS,3206 MISSION St,San Francisco,CA,94110,37.745516,-122.420004,"{'longitude': '-122.420004', 'latitude': '37.745516', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155281033.0,2690_20180522,2018-05-22T00:00:00.000,89.0,Routine - Unscheduled,2690_20180522_103120,Moderate risk food holding temperature,Moderate Risk,2.0,7.0,7.0,2.0,28859.0,2.0
30022,1339,HIGHER GROUNDS,691 CHENERY St,San Francisco,CA,94131,37.734483,-122.43368,"{'longitude': '-122.43368', 'latitude': '37.734483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155582933.0,1339_20170822,2017-08-22T00:00:00.000,80.0,Routine - Unscheduled,1339_20170822_103157,Food safety certificate or food handler card not available,Low Risk,7.0,7.0,5.0,2.0,63.0,10.0
30031,642,ANDERSEN BAKERY,1737 Post St 304,San Francisco,CA,94115,37.785457,-122.430317,"{'longitude': '-122.430317', 'latitude': '37.785457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155565712.0,642_20180426,2018-04-26T00:00:00.000,96.0,Routine - Unscheduled,642_20180426_103139,Improper food storage,Low Risk,13.0,9.0,11.0,13.0,29490.0,15.0
30047,4519,HSS 121 CAFE,1600 HOLLOWAY Ave,San Francisco,CA,94132,37.720851,-122.477084,"{'longitude': '-122.477084', 'latitude': '37.720851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155374525.0,4519_20170922,2017-09-22T00:00:00.000,96.0,Routine - Unscheduled,4519_20170922_103120,Moderate risk food holding temperature,Moderate Risk,14.0,8.0,4.0,1.0,64.0,16.0
30054,7636,LEE'S FOOD MARKET,1397 Revere Ave,San Francisco,CA,94124,37.729455,-122.386364,"{'longitude': '-122.386364', 'latitude': '37.729455', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155822818.0,7636_20181017,2018-10-17T00:00:00.000,78.0,Routine - Unscheduled,7636_20181017_103142,Unclean nonfood contact surfaces,Low Risk,1.0,3.0,8.0,10.0,58.0,1.0
